# Verified upstream URL for every license file the notices document links.
# Generated by hack/verify-license-urls.sh. Each URL was fetched and its
# sha256 matched against the vendored copy, so no entry is a dead or wrong link.
# Covers the shipped set only: build- and test-only dependencies are excluded.
# module	version	license-path	url
github.com/NVIDIA/go-nvlib	v0.12.0	LICENSE	https://github.com/NVIDIA/go-nvlib/blob/v0.12.0/LICENSE
github.com/NVIDIA/go-nvlib	v0.12.0	NOTICE	https://github.com/NVIDIA/go-nvlib/blob/v0.12.0/NOTICE
github.com/NVIDIA/go-nvml	v0.13.3-1	LICENSE	https://github.com/NVIDIA/go-nvml/blob/v0.13.3-1/LICENSE
github.com/NVIDIA/mig-parted	v0.15.0	LICENSE	https://github.com/NVIDIA/mig-parted/blob/v0.15.0/LICENSE
github.com/cpuguy83/go-md2man/v2	v2.0.7	LICENSE.md	https://github.com/cpuguy83/go-md2man/blob/v2.0.7/LICENSE.md
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc	LICENSE	https://github.com/davecgh/go-spew/blob/d8f796af33cc/LICENSE
github.com/emicklei/go-restful/v3	v3.13.0	LICENSE	https://github.com/emicklei/go-restful/blob/v3.13.0/LICENSE
github.com/fxamacker/cbor/v2	v2.9.0	LICENSE	https://github.com/fxamacker/cbor/blob/v2.9.0/LICENSE
github.com/gabriel-vasile/mimetype	v1.4.13	LICENSE	https://github.com/gabriel-vasile/mimetype/blob/v1.4.13/LICENSE
github.com/go-logr/logr	v1.4.3	LICENSE	https://github.com/go-logr/logr/blob/v1.4.3/LICENSE
github.com/go-openapi/jsonpointer	v0.21.0	LICENSE	https://github.com/go-openapi/jsonpointer/blob/v0.21.0/LICENSE
github.com/go-openapi/jsonreference	v0.20.2	LICENSE	https://github.com/go-openapi/jsonreference/blob/v0.20.2/LICENSE
github.com/go-openapi/swag	v0.23.0	LICENSE	https://github.com/go-openapi/swag/blob/v0.23.0/LICENSE
github.com/go-playground/locales	v0.14.1	LICENSE	https://github.com/go-playground/locales/blob/v0.14.1/LICENSE
