# Upstream repository for each vendored module.
# Generated by hack/resolve-module-repos.sh from the module proxy Origin,
# the go-import meta tag, and the github.com path shape. Not hand-edited.
# module	repo-url	subdir
github.com/NVIDIA/go-nvlib	https://github.com/NVIDIA/go-nvlib	
github.com/NVIDIA/go-nvml	https://github.com/NVIDIA/go-nvml	
github.com/NVIDIA/mig-parted	https://github.com/NVIDIA/mig-parted	
github.com/cpuguy83/go-md2man/v2	https://github.com/cpuguy83/go-md2man	
github.com/davecgh/go-spew	https://github.com/davecgh/go-spew	
github.com/emicklei/go-restful/v3	https://github.com/emicklei/go-restful	
github.com/fxamacker/cbor/v2	https://github.com/fxamacker/cbor	
github.com/gabriel-vasile/mimetype	https://github.com/gabriel-vasile/mimetype	
github.com/go-logr/logr	https://github.com/go-logr/logr	
github.com/go-openapi/jsonpointer	https://github.com/go-openapi/jsonpointer	
github.com/go-openapi/jsonreference	https://github.com/go-openapi/jsonreference	
github.com/go-openapi/swag	https://github.com/go-openapi/swag	
github.com/go-playground/locales	https://github.com/go-playground/locales	
github.com/go-playground/universal-translator	https://github.com/go-playground/universal-translator	
github.com/go-playground/validator/v10	https://github.com/go-playground/validator	
github.com/google/gnostic-models	https://github.com/google/gnostic-models	
github.com/google/uuid	https://github.com/google/uuid	
github.com/josharian/intern	https://github.com/josharian/intern	
github.com/json-iterator/go	https://github.com/json-iterator/go	
github.com/leodido/go-urn	https://github.com/leodido/go-urn	
github.com/mailru/easyjson	https://github.com/mailru/easyjson	
github.com/modern-go/concurrent	https://github.com/modern-go/concurrent	
github.com/modern-go/reflect2	https://github.com/modern-go/reflect2	
github.com/munnerz/goautoneg	https://github.com/munnerz/goautoneg	
github.com/pmezard/go-difflib	https://github.com/pmezard/go-difflib	
github.com/russross/blackfriday/v2	https://github.com/russross/blackfriday	
github.com/sirupsen/logrus	https://github.com/sirupsen/logrus	
github.com/spf13/pflag	https://github.com/spf13/pflag	
github.com/stretchr/testify	https://github.com/stretchr/testify	
github.com/urfave/cli/v2	https://github.com/urfave/cli	
github.com/urfave/cli/v3	https://github.com/urfave/cli	
github.com/x448/float16	https://github.com/x448/float16	
github.com/xrash/smetrics	https://github.com/xrash/smetrics	
go.yaml.in/yaml/v2	https://github.com/yaml/go-yaml	
go.yaml.in/yaml/v3	https://github.com/yaml/go-yaml	
golang.org/x/crypto	https://go.googlesource.com/crypto	
golang.org/x/net	https://go.googlesource.com/net	
golang.org/x/oauth2	https://go.googlesource.com/oauth2	
golang.org/x/sys	https://go.googlesource.com/sys	
golang.org/x/term	https://go.googlesource.com/term	
golang.org/x/text	https://go.googlesource.com/text	
golang.org/x/time	https://go.googlesource.com/time	
google.golang.org/protobuf	https://go.googlesource.com/protobuf	
gopkg.in/evanphx/json-patch.v4	https://github.com/evanphx/json-patch	
gopkg.in/inf.v0	https://github.com/go-inf/inf	
gopkg.in/yaml.v2	https://github.com/go-yaml/yaml	
gopkg.in/yaml.v3	https://github.com/go-yaml/yaml	
k8s.io/api	https://github.com/kubernetes/api	
k8s.io/apimachinery	https://github.com/kubernetes/apimachinery	
k8s.io/client-go	https://github.com/kubernetes/client-go	
k8s.io/klog/v2	https://github.com/kubernetes/klog	
k8s.io/kube-openapi	https://github.com/kubernetes/kube-openapi	
k8s.io/utils	https://github.com/kubernetes/utils	
sigs.k8s.io/json	https://github.com/kubernetes-sigs/json	
sigs.k8s.io/randfill	https://github.com/kubernetes-sigs/randfill	
sigs.k8s.io/structured-merge-diff/v6	https://github.com/kubernetes-sigs/structured-merge-diff	
sigs.k8s.io/yaml	https://github.com/kubernetes-sigs/yaml	
